time(seconds),# activatory proteins,# repressory proteins,# Q proteins,# Qc proteins
24240,18.05060655,3.736881173,100.3697789,4.25E-78
24270,18.65607046,3.695577661,100.3699015,2.19E-78
24300,19.31870575,3.654431881,100.3718591,1.12E-78
24330,20.05544651,3.613115836,100.3711498,5.78E-79
24360,20.85713524,3.572121985,100.3733043,2.97E-79
24390,21.72759944,3.531581458,100.3742231,1.53E-79
24420,22.69499058,3.491169512,100.3756951,7.88E-80
24450,23.7544116,3.451080645,100.3766128,4.05E-80
24480,24.93043466,3.411309984,100.3774377,2.09E-80
24510,26.23957839,3.371881548,100.3768285,1.07E-80
24540,27.69704479,3.332663167,100.3774491,5.53E-81
24570,29.33458028,3.293759668,100.3797552,2.85E-81
24600,31.16559258,3.255186232,100.3790451,1.47E-81
24630,33.21767147,3.216985218,100.380471,7.56E-82
24660,35.53162066,3.179175084,100.380334,3.90E-82
24690,38.11553877,3.141777642,100.3797223,2.01E-82
24720,41.02431703,3.104834835,100.3797753,1.03E-82
24750,44.29127478,3.068330981,100.3813789,5.33E-83
24780,48.02369035,3.032000802,100.3819814,2.75E-83
24810,52.16413202,2.996287207,100.385628,1.42E-83
24840,56.72356008,2.961325888,100.3862967,7.30E-84
24870,61.79692738,2.927025049,100.3845329,3.76E-84
24900,67.36909539,2.893458848,100.3851857,1.94E-84
24930,73.51910317,2.860663181,100.3856799,1.00E-84
24960,80.28875386,2.828597195,100.388021,5.16E-85
24990,87.70024648,2.797283016,100.3881878,2.66E-85
25020,95.80049395,2.76679024,100.3862566,1.37E-85
25050,104.5975326,2.73710898,100.3887592,7.07E-86
25080,114.1490725,2.708242105,100.3923693,3.65E-86
25110,124.4526475,2.680217189,100.390936,1.88E-86
25140,135.4954109,2.653036685,100.3884762,9.70E-87
25170,147.3051468,2.626684177,100.3925146,5.00E-87
25200,159.8945771,2.601113285,100.3946595,2.58E-87
25230,173.5235311,2.576060235,100.3916034,1.33E-87
25260,187.7457329,2.551811847,100.3927562,6.86E-88
25290,202.5458774,2.528364112,100.3971609,3.54E-88
25320,217.9979168,2.505582644,100.3938153,1.83E-88
25350,234.0479852,2.48341813,100.3968805,9.42E-89
25380,250.7330802,2.461815085,100.3984243,4.86E-89
25410,268.0224458,2.440689426,100.3962048,2.51E-89
25440,285.8933215,2.420055452,100.4019256,1.29E-89
25470,304.2901225,2.399939783,100.3969794,6.67E-90
25500,323.2127751,2.380450943,100.4005816,3.44E-90
25530,342.6215531,2.361858672,100.4006786,1.77E-90
25560,362.5379352,2.344751986,100.3983149,9.15E-91
25590,382.8999085,2.330313801,100.4036644,4.72E-91
25620,403.6973639,2.320802737,100.3991875,2.44E-91
25650,424.8930531,2.320270234,100.4067229,1.26E-91
25680,446.7344273,2.336221779,100.4009178,6.48E-92
25710,468.6374583,2.382025547,100.4086432,3.34E-92
25740,490.650285,2.473970508,100.4020676,1.72E-92
25770,512.8120495,2.632278965,100.4088504,8.90E-93
25800,535.1235352,2.883856026,100.4042036,4.59E-93
25830,557.5291947,3.263022465,100.408287,2.37E-93
25860,579.9920437,3.810965629,100.4090146,1.22E-93
25890,602.4697108,4.57652312,100.4076008,6.30E-94
25920,624.927164,5.615900075,100.4159806,3.25E-94
25950,647.321045,6.991778527,100.4063607,1.68E-94
25980,669.6095715,8.773267206,100.4132183,8.66E-95
26010,691.7593251,11.03517693,100.4162631,4.47E-95
26040,713.7179399,13.85507142,99.81389843,1.065701511
26070,735.4308816,17.3099138,95.67097671,5.33076679
26100,756.9063183,21.47577424,91.12479718,9.857057164
26130,778.531537,26.4568995,85.61493292,16.337574
26160,799.6406948,32.23111575,78.44150753,24.02407938
26190,820.0068582,38.75507954,69.22342394,33.6422425
26220,839.62166,45.9787624,56.81990093,46.73439865
26250,858.5342404,53.868128,40.53847501,63.0483635
26280,876.6238271,62.35370764,24.43161126,78.73835005
26310,893.7358675,71.32786963,13.0292858,90.17392036
26340,909.6602949,80.61809619,6.668068468,96.47758209
26370,924.1151833,89.99846056,3.348463129,99.30498825
26400,936.893676,99.26472205,1.664989846,100.0904778
26430,947.9047602,108.2726597,0.8231458175,100.3395286
26460,957.1455645,116.9423339,0.4057188086,100.4233018
26490,964.6720276,125.2533947,0.1998163878,100.4516853
26520,970.5336238,133.2159071,0.09844843668,100.4640187
26550,974.7740987,140.853131,0.0485523795,100.4679206
26580,977.4732081,148.2443556,0.0239756197,100.4693729
26610,978.5464473,155.3125369,0.01185739294,100.471106
26640,977.9898745,162.0922044,0.005874147499,100.4722942
26670,975.7376506,168.5610954,0.002915543654,100.4716389
26700,971.7566756,174.6981672,0.001450099362,100.4746044
26730,966.0816625,180.4900116,7.23E-04,100.4744518
26760,958.8472819,185.9200632,3.61E-04,100.4754355
26790,950.2281502,190.9636958,1.81E-04,100.4761294
26820,940.409904,195.5688844,9.07E-05,100.4756982
26850,929.5757706,199.6626452,4.56E-05,100.4795874
26880,917.906416,203.1904012,2.29E-05,100.4771631
26910,905.5343009,206.1343075,1.16E-05,100.4789502
26940,892.6205728,208.5050154,5.85E-06,100.4814068
26970,879.2624776,210.3418385,2.96E-06,100.4821988
27000,865.5781244,211.6924713,1.50E-06,100.4836003
27030,851.615192,212.602736,7.62E-07,100.4834338
27060,837.5325589,213.1121549,3.87E-07,100.4854275
27090,823.372085,213.2587896,1.97E-07,100.4842115
27120,809.1794523,213.0768827,1.00E-07,100.4848607
27150,794.9989513,212.5977225,5.12E-08,100.485474
27180,780.8954956,211.8492647,2.62E-08,100.4850238
27210,766.8764585,210.857889,1.34E-08,100.4857479
27240,752.9961658,209.6472928,6.83E-09,100.4852271
27270,739.275642,208.2394317,3.50E-09,100.4870614
27300,725.7042824,206.6543283,1.79E-09,100.4857507
27330,712.2993106,204.9103422,9.18E-10,100.4863637
27360,699.0329156,203.0244479,4.71E-10,100.4876206
27390,685.9165272,201.0120625,2.42E-10,100.4900056
27420,672.8918789,198.8875927,1.24E-10,100.4890379
27450,659.9691565,196.6639814,6.37E-11,100.4923278
27480,647.1019528,194.3533022,3.27E-11,100.4924094
27510,634.3119705,191.9676438,1.68E-11,100.4930468
27540,621.553646,189.5157584,8.65E-12,100.4947314
27570,608.8559683,187.0072813,4.45E-12,100.4938526
27600,596.2135426,184.4510594,2.29E-12,100.4951135
27630,583.6420459,181.8548336,1.18E-12,100.4952622
27660,571.149633,179.2259355,6.05E-13,100.4966828
27690,558.7625904,176.571035,3.12E-13,100.4982969
27720,546.4869885,173.8962259,1.60E-13,100.4989525
27750,534.3371778,171.207107,8.25E-14,100.4991484
27780,522.3309622,168.50882,4.25E-14,100.500837
27810,510.4762817,165.8060738,2.19E-14,100.5024746
27840,498.7813946,163.1031533,1.13E-14,100.5019593
27870,487.258043,160.4039794,5.81E-15,100.5023572
27900,475.9161067,157.7121023,2.99E-15,100.5038854
27930,464.7562652,155.0303799,1.54E-15,100.5032435
27960,453.7956591,152.3627359,7.94E-16,100.5052891
27990,443.0322657,149.7114587,4.09E-16,100.5040858
28020,432.4696999,147.0787435,2.11E-16,100.5035566
28050,422.1119763,144.4668113,1.09E-16,100.5051513
28080,411.9616515,141.8776815,5.60E-17,100.5051124
28110,402.0207873,139.3131255,2.89E-17,100.5072311
28140,392.292182,136.7747338,1.49E-17,100.5074034
28170,382.7765088,134.2639249,7.67E-18,100.5086847
28200,373.4726977,131.7819549,3.95E-18,100.5106863
28230,364.3810616,129.3299399,2.04E-18,100.5107596
28260,355.5012308,126.9088539,1.05E-18,100.5092387
28290,346.8328086,124.5195413,5.42E-19,100.5123047
28320,338.3745228,122.1627337,2.79E-19,100.5137597
28350,330.1250258,119.8390611,1.44E-19,100.5146546
28380,322.080734,117.5487426,7.43E-20,100.5148244
28410,314.2439311,115.292974,3.83E-20,100.5162837
28440,306.6101783,113.0715948,1.98E-20,100.5159297
28470,299.1780644,110.8848589,1.02E-20,100.5173005
28500,291.9422668,108.7330215,5.25E-21,100.5152206
28530,284.9018774,106.6162134,2.71E-21,100.5156333
28560,278.0553113,104.534491,1.40E-21,100.5170336
28590,271.3989938,102.4878755,7.21E-22,100.5185854
28620,264.9301974,100.4763208,3.72E-22,100.5174242
28650,258.6448092,98.49975168,1.92E-22,100.518937
28680,252.5394649,96.55803634,9.89E-23,100.5210484
28710,246.6108814,94.65100523,5.10E-23,100.521431
28740,240.8563581,92.77845909,2.63E-23,100.5240925
28770,235.2731535,90.94015694,1.36E-23,100.5238751
28800,229.8573857,89.13582689,7.00E-24,100.5239623
